ewc_code,hazardous,description
10 05 08*,True,Wastes from cooling-water treatment containing oil
10 05 09,False,Wastes from cooling-water treatment other than those mentioned in 10 05 08
10 05 10*,True,"Dross and skimmings that are flammable or emit, upon contact with water, flammable gases in hazardous quantities"
10 05 11,False,Dross and skimmings other than those mentioned in 10 05 10
10 05 99,False,Wastes not otherwise specified
10 06 01,False,Slags from primary and secondary production
10 06 02,False,Dross and skimmings from primary and secondary production
10 06 03*,True,Flue-gas dust
10 06 04,False,Other particulates and dust
10 06 06*,True,Solid wastes from gas treatment
10 06 07*,True,Sludges and filter cakes from gas treatment
10 06 09*,True,Wastes from cooling-water treatment containing oil
10 06 10,False,Wastes from cooling-water treatment other than those mentioned in 10 06 09
10 06 99,False,Wastes not otherwise specified
10 07 01,False,Slags from primary and secondary production
10 07 02,False,Dross and skimmings from primary and secondary production
10 07 03,False,Solid wastes from gas treatment
10 07 04,False,Other particulates and dust
10 07 05,False,Sludges and filter cakes from gas treatment
10 07 07*,True,Wastes from cooling-water treatment containing oil
10 07 08,False,Wastes from cooling-water treatment other than those mentioned in 10 07 07
10 07 99,False,Wastes not otherwise specified
10 08 04,False,Particulates and dust
10 08 08*,True,Salt slag from primary and secondary production
10 08 09,False,Other slags
10 08 10*,True,"Dross and skimmings that are flammable or emit, upon contact with water, flammable gases in hazardous quantities"
10 08 11,False,Dross and skimmings other than those mentioned in 10 08 10
10 08 12*,True,Tar-containing wastes from anode manufacture
10 08 13,False,Carbon-containing wastes from anode manufacture other than those mentioned in 10 08 12
10 08 14,False,Anode scrap
10 08 15*,True,Flue-gas dust containing hazardous substances
10 08 16,False,Flue-gas dust other than those mentioned in 10 08 15
10 08 17*,True,Sludges and filter cakes from flue-gas treatment containing hazardous substances
10 08 18,False,Sludges and filter cakes from flue-gas treatment other than those mentioned in 10 08 17
10 08 19*,True,Wastes from cooling-water treatment containing oil
10 08 20,False,Wastes from cooling-water treatment other than those mentioned in 10 08 19
10 08 99,False,Wastes not otherwise specified
10 09 03,False,Furnace slag
10 09 05*,True,Casting cores and moulds which have not undergone pouring containing hazardous substances
10 09 06,False,Casting cores and moulds which have not undergone pouring other than those mentioned in 10 09 05
10 09 07*,True,Casting cores and moulds which have undergone pouring containing hazardous substances
10 09 08,False,Casting cores and moulds which have undergone pouring other than those mentioned in 10 09 07
10 09 09*,True,Flue-gas dust containing hazardous substances
10 09 10,False,Flue-gas dust other than those mentioned in 10 09 09
10 09 11*,True,Other particulates containing hazardous substances
10 09 12,False,Other particulates other than those mentioned in 10 09 11
10 09 13*,True,Waste binders containing hazardous substances
10 09 14,False,Waste binders other than those mentioned in 10 09 13
10 09 15*,True,Waste crack-indicating agent containing hazardous substances
10 09 16,False,Waste crack-indicating agent other than those mentioned in 10 09 15
10 09 99,False,Wastes not otherwise specified
10 10 03,False,Furnace slag
10 10 05*,True,"Casting cores and moulds which have not undergone pouring, containing hazardous substances"
10 10 06,False,"Casting cores and moulds which have not undergone pouring, other than those mentioned in 10 10 05"
10 10 07*,True,"Casting cores and moulds which have undergone pouring, containing hazardous substances"
10 10 08,False,"Casting cores and moulds which have undergone pouring, other than those mentioned in 10 10 07"
10 10 09*,True,Flue-gas dust containing hazardous substances
10 10 10,False,Flue-gas dust other than those mentioned in 10 10 09
10 10 11*,True,Other particulates containing hazardous substances
10 10 12,False,Other particulates other than those mentioned in 10 10 11
10 10 13*,True,Waste binders containing hazardous substances
10 10 14,False,Waste binders other than those mentioned in 10 10 13
10 10 15*,True,Waste crack-indicating agent containing hazardous substances
10 10 16,False,Waste crack-indicating agent other than those mentioned in 10 10 15
10 10 99,False,Wastes not otherwise specified
10 11 03,False,Waste glass-based fibrous materials
10 11 05,False,Particulates and dust
10 11 09*,True,"Waste preparation mixture before thermal processing, containing hazardous substances"
10 11 10,False,"Waste preparation mixture before thermal processing, other than those mentioned in 10 11 09"
10 11 11*,True,Waste glass in small particles and glass powder containing heavy metals (for example from cathode ray tubes)
10 11 12,False,Waste glass other than those mentioned in 10 11 11
10 11 13*,True,Glass-polishing and -grinding sludge containing hazardous substances
10 11 14,False,Glass-polishing and -grinding sludge other than those mentioned in 10 11 13
10 11 15*,True,Solid wastes from flue-gas treatment containing hazardous substances
10 11 16,False,Solid wastes from flue-gas treatment other than those mentioned in 10 11 15
10 11 17*,True,Sludges and filter cakes from flue-gas treatment containing hazardous substances
10 11 18,False,Sludges and filter cakes from flue-gas treatment other than those mentioned in 10 11 17
10 11 19*,True,Solid wastes from on-site effluent treatment containing hazardous substances
10 11 20,False,Solid wastes from on-site effluent treatment other than those mentioned in 10 11 19
10 11 99,False,Wastes not otherwise specified
10 12 01,False,Waste preparation mixture before thermal processing
10 12 03,False,Particulates and dust
10 12 05,False,Sludges and filter cakes from gas treatment
10 12 06,False,Discarded moulds
10 12 08,False,"Waste ceramics, bricks, tiles and construction products (after thermal processing)"
10 12 09*,True,Solid wastes from gas treatment containing hazardous substances
10 12 10,False,Solid wastes from gas treatment other than those mentioned in 10 12 09
10 12 11*,True,Wastes from glazing containing heavy metals
10 12 12,False,Wastes from glazing other than those mentioned in 10 12 11
10 12 13,False,Sludge from on-site effluent treatment
10 12 99,False,Wastes not otherwise specified
10 13 01,False,Waste preparation mixture before thermal processing
10 13 04,False,Wastes from calcination and hydration of lime
10 13 06,False,Particulates and dust (except 10 13 12 and 10 13 13)
10 13 07,False,Sludges and filter cakes from gas treatment
10 13 09*,True,Wastes from asbestos-cement manufacture containing asbestos
10 13 10,False,Wastes from asbestos-cement manufacture other than those mentioned in 10 13 09
10 13 11,False,Wastes from cement-based composite materials other than those mentioned in 10 13 09 and 10 13 10
10 13 12*,True,Solid wastes from gas treatment containing hazardous substances
10 13 13,False,Solid wastes from gas treatment other than those mentioned in 10 13 12
10 13 14,False,Waste concrete and concrete sludge
10 13 99,False,Wastes not otherwise specified
10 14 01*,True,"Waste from gas cleaning containing mercury ferrous hydro-metallurgy processes, zinc coating processes, pickling processes, etching, phosphating, alkaline degreasing, anodising)"
11 01 05*,True,Pickling acids
11 01 06*,True,Acids not otherwise specified
11 01 07*,True,Pickling bases
11 01 08*,True,Phosphatising sludges
11 01 09*,True,Sludges and filter cakes containing hazardous substances
11 01 10,False,Sludges and filter cakes other than those mentioned in 11 01 09
11 01 11*,True,Aqueous rinsing liquids containing hazardous substances
11 01 12,False,Aqueous rinsing liquids other than those mentioned in 11 01 11
11 01 13*,True,Degreasing wastes containing hazardous substances
11 01 14,False,Degreasing wastes other than those mentioned in 11 01 13
11 01 15*,True,Eluate and sludges from membrane systems or ion exchange systems containing hazardous substances
11 01 16*,True,Saturated or spent ion exchange resins
11 01 98*,True,Other wastes containing hazardous substances
11 01 99,False,Wastes not otherwise specified
11 02 02*,True,"Sludges from zinc hydrometallurgy (including jarosite, goethite)"
11 02 03,False,Wastes from the production of anodes for aqueous electrolytical processes
11 02 05*,True,Wastes from copper hydrometallurgical processes containing hazardous substances
11 02 06,False,Wastes from copper hydrometallurgical processes other than those mentioned in 11 02 05
11 02 07*,True,Other wastes containing hazardous substances
11 02 99,False,Wastes not otherwise specified
11 03 01*,True,Wastes containing cyanide
11 03 02*,True,Other wastes
11 05 01,False,Hard zinc
11 05 02,False,Zinc ash
11 05 03*,True,Solid wastes from gas treatment
11 05 04*,True,Spent flux
11 05 99,False,Wastes not otherwise specified
12 01 01,False,Ferrous metal filings and turnings
12 01 02,False,Ferrous metal dust and particles
12 01 03,False,Non-ferrous metal filings and turnings
12 01 04,False,Non-ferrous metal dust and particles
12 01 05,False,Plastics shavings and turnings
12 01 06*,True,Mineral-based machining oils containing halogens (except emulsions and solutions)
12 01 07*,True,Mineral-based machining oils free of halogens (except emulsions and solutions)
